structName,structType,K,N,Dim,avgRuntime
Bucket,0,90,170000,1,3413
Bucket,0,100,170000,1,3790
Bucket,0,10,180000,1,347
Bucket,0,20,180000,1,704
Bucket,0,30,180000,1,1090
Bucket,0,40,180000,1,1458
Bucket,0,50,180000,1,1839
Bucket,0,60,180000,1,2218
Bucket,0,70,180000,1,2598
Bucket,0,80,180000,1,2985
Bucket,0,90,180000,1,3377
Bucket,0,100,180000,1,3770
Bucket,0,10,190000,1,386
Bucket,0,20,190000,1,831
Bucket,0,30,190000,1,1218
Bucket,0,40,190000,1,1622
Bucket,0,50,190000,1,2031
Bucket,0,60,190000,1,2446
Bucket,0,70,190000,1,2866
Bucket,0,80,190000,1,3295
Bucket,0,90,190000,1,3726
Bucket,0,100,190000,1,4166
Bucket,0,10,200000,1,383
Bucket,0,20,200000,1,777
Bucket,0,30,200000,1,1176
Bucket,0,40,200000,1,1593
Bucket,0,50,200000,1,1998
Bucket,0,60,200000,1,2405
Bucket,0,70,200000,1,2813
Bucket,0,80,200000,1,3221
Bucket,0,90,200000,1,3648
Bucket,0,100,200000,1,4083
Bucket,0,10,10000,2,6
Bucket,0,20,10000,2,17
Bucket,0,30,10000,2,36
Bucket,0,40,10000,2,71
Bucket,0,50,10000,2,105
Bucket,0,60,10000,2,144
Bucket,0,70,10000,2,191
Bucket,0,80,10000,2,242
Bucket,0,90,10000,2,304
Bucket,0,100,10000,2,368
Bucket,0,10,20000,2,5
Bucket,0,20,20000,2,12
Bucket,0,30,20000,2,25
Bucket,0,40,20000,2,42
Bucket,0,50,20000,2,66
Bucket,0,60,20000,2,95
Bucket,0,70,20000,2,129
Bucket,0,80,20000,2,168
Bucket,0,90,20000,2,210
Bucket,0,100,20000,2,259
Bucket,0,10,30000,2,8
Bucket,0,20,30000,2,16
Bucket,0,30,30000,2,25
Bucket,0,40,30000,2,39
Bucket,0,50,30000,2,55
Bucket,0,60,30000,2,76
Bucket,0,70,30000,2,109
Bucket,0,80,30000,2,144
Bucket,0,90,30000,2,176
Bucket,0,100,30000,2,213
Bucket,0,10,40000,2,8
Bucket,0,20,40000,2,17
Bucket,0,30,40000,2,26
Bucket,0,40,40000,2,36
Bucket,0,50,40000,2,50
Bucket,0,60,40000,2,67
Bucket,0,70,40000,2,95
Bucket,0,80,40000,2,125
Bucket,0,90,40000,2,152
Bucket,0,100,40000,2,192
Bucket,0,10,50000,2,10
Bucket,0,20,50000,2,21
Bucket,0,30,50000,2,32
Bucket,0,40,50000,2,44
Bucket,0,50,50000,2,54
Bucket,0,60,50000,2,67
Bucket,0,70,50000,2,88
Bucket,0,80,50000,2,111
Bucket,0,90,50000,2,141
Bucket,0,100,50000,2,172
Bucket,0,10,60000,2,12
Bucket,0,20,60000,2,24
Bucket,0,30,60000,2,37
Bucket,0,40,60000,2,50
Bucket,0,50,60000,2,64
Bucket,0,60,60000,2,77
Bucket,0,70,60000,2,93
Bucket,0,80,60000,2,112
Bucket,0,90,60000,2,140
Bucket,0,100,60000,2,170
Bucket,0,10,70000,2,14
Bucket,0,20,70000,2,28
Bucket,0,30,70000,2,47
Bucket,0,40,70000,2,65
Bucket,0,50,70000,2,81
Bucket,0,60,70000,2,95
Bucket,0,70,70000,2,109
Bucket,0,80,70000,2,125
Bucket,0,90,70000,2,147
Bucket,0,100,70000,2,173
Bucket,0,10,80000,2,15
Bucket,0,20,80000,2,32
Bucket,0,30,80000,2,50
Bucket,0,40,80000,2,69
Bucket,0,50,80000,2,96
Bucket,0,60,80000,2,115
Bucket,0,70,80000,2,136
Bucket,0,80,80000,2,155
Bucket,0,90,80000,2,178
Bucket,0,100,80000,2,203
Bucket,0,10,90000,2,15
Bucket,0,20,90000,2,32
Bucket,0,30,90000,2,49
Bucket,0,40,90000,2,66
Bucket,0,50,90000,2,83
Bucket,0,60,90000,2,102
Bucket,0,70,90000,2,119
Bucket,0,80,90000,2,137
Bucket,0,90,90000,2,156
Bucket,0,100,90000,2,174
Bucket,0,10,100000,2,16
Bucket,0,20,100000,2,35
Bucket,0,30,100000,2,56
Bucket,0,40,100000,2,75
Bucket,0,50,100000,2,94
Bucket,0,60,100000,2,117
Bucket,0,70,100000,2,136
Bucket,0,80,100000,2,158
Bucket,0,90,100000,2,178
Bucket,0,100,100000,2,203
Bucket,0,10,110000,2,20
Bucket,0,20,110000,2,41
Bucket,0,30,110000,2,63
Bucket,0,40,110000,2,86
Bucket,0,50,110000,2,116
Bucket,0,60,110000,2,141
Bucket,0,70,110000,2,164
Bucket,0,80,110000,2,187
Bucket,0,90,110000,2,212
Bucket,0,100,110000,2,234
Bucket,0,10,120000,2,20
Bucket,0,20,120000,2,42
Bucket,0,30,120000,2,65
Bucket,0,40,120000,2,89
Bucket,0,50,120000,2,112
Bucket,0,60,120000,2,135
Bucket,0,70,120000,2,160
Bucket,0,80,120000,2,184
Bucket,0,90,120000,2,211
Bucket,0,100,120000,2,238
Bucket,0,10,130000,2,23
Bucket,0,20,130000,2,51
Bucket,0,30,130000,2,78
Bucket,0,40,130000,2,106
Bucket,0,50,130000,2,132
Bucket,0,60,130000,2,163
Bucket,0,70,130000,2,193
Bucket,0,80,130000,2,230
Bucket,0,90,130000,2,262
Bucket,0,100,130000,2,293
Bucket,0,10,140000,2,21
Bucket,0,20,140000,2,49
Bucket,0,30,140000,2,74
Bucket,0,40,140000,2,102
Bucket,0,50,140000,2,130
Bucket,0,60,140000,2,157
Bucket,0,70,140000,2,185
Bucket,0,80,140000,2,215
Bucket,0,90,140000,2,246
Bucket,0,100,140000,2,276
Bucket,0,10,150000,2,25
Bucket,0,20,150000,2,52
Bucket,0,30,150000,2,82
Bucket,0,40,150000,2,112
Bucket,0,50,150000,2,142
Bucket,0,60,150000,2,171
Bucket,0,70,150000,2,205
Bucket,0,80,150000,2,239
Bucket,0,90,150000,2,271
Bucket,0,100,150000,2,305
Bucket,0,10,160000,2,26
Bucket,0,20,160000,2,52
Bucket,0,30,160000,2,82
Bucket,0,40,160000,2,114
Bucket,0,50,160000,2,152
Bucket,0,60,160000,2,197
Bucket,0,70,160000,2,238
Bucket,0,80,160000,2,273
Bucket,0,90,160000,2,307
Bucket,0,100,160000,2,343
Bucket,0,10,170000,2,30
Bucket,0,20,170000,2,61
Bucket,0,30,170000,2,93
Bucket,0,40,170000,2,124
Bucket,0,50,170000,2,164
Bucket,0,60,170000,2,196
Bucket,0,70,170000,2,227
Bucket,0,80,170000,2,260
Bucket,0,90,170000,2,292
Bucket,0,100,170000,2,326
Bucket,0,10,180000,2,30
Bucket,0,20,180000,2,60
Bucket,0,30,180000,2,91
Bucket,0,40,180000,2,124
Bucket,0,50,180000,2,158
Bucket,0,60,180000,2,190
Bucket,0,70,180000,2,223
Bucket,0,80,180000,2,256
Bucket,0,90,180000,2,290
Bucket,0,100,180000,2,323
Bucket,0,10,190000,2,30
Bucket,0,20,190000,2,61
Bucket,0,30,190000,2,93
Bucket,0,40,190000,2,125
Bucket,0,50,190000,2,157
Bucket,0,60,190000,2,192
Bucket,0,70,190000,2,225
Bucket,0,80,190000,2,259
Bucket,0,90,190000,2,296
Bucket,0,100,190000,2,331
Bucket,0,10,200000,2,29
Bucket,0,20,200000,2,60
Bucket,0,30,200000,2,93
Bucket,0,40,200000,2,126
Bucket,0,50,200000,2,161
Bucket,0,60,200000,2,197
Bucket,0,70,200000,2,233
Bucket,0,80,200000,2,269
Bucket,0,90,200000,2,305
Bucket,0,100,200000,2,341
Bucket,0,10,10000,3,316
Bucket,0,20,10000,3,880
Bucket,0,30,10000,3,1800
Bucket,0,40,10000,3,3094
Bucket,0,50,10000,3,4827
Bucket,0,60,10000,3,6830
Bucket,0,70,10000,3,8792
Bucket,0,80,10000,3,11506
Bucket,0,90,10000,3,16309
Bucket,0,100,10000,3,18971
Bucket,0,10,20000,3,180
Bucket,0,20,20000,3,610
Bucket,0,30,20000,3,1193
Bucket,0,40,20000,3,1881
Bucket,0,50,20000,3,2697
Bucket,0,60,20000,3,3675
Bucket,0,70,20000,3,4724
Bucket,0,80,20000,3,5839
Bucket,0,90,20000,3,7148
Bucket,0,100,20000,3,8683
Bucket,0,10,30000,3,117
Bucket,0,20,30000,3,399
Bucket,0,30,30000,3,764
Bucket,0,40,30000,3,1246
Bucket,0,50,30000,3,1817
Bucket,0,60,30000,3,2438
Bucket,0,70,30000,3,3232
Bucket,0,80,30000,3,4057
Bucket,0,90,30000,3,5020
Bucket,0,100,30000,3,5985
Bucket,0,10,40000,3,99
Bucket,0,20,40000,3,292
Bucket,0,30,40000,3,581
Bucket,0,40,40000,3,935
Bucket,0,50,40000,3,1349
Bucket,0,60,40000,3,1861
Bucket,0,70,40000,3,2513
Bucket,0,80,40000,3,3172
Bucket,0,90,40000,3,3881
Bucket,0,100,40000,3,7069
Bucket,0,10,50000,3,102
Bucket,0,20,50000,3,286
Bucket,0,30,50000,3,541
Bucket,0,40,50000,3,848
Bucket,0,50,50000,3,1210
Bucket,0,60,50000,3,1616
Bucket,0,70,50000,3,2124
Bucket,0,80,50000,3,2709
Bucket,0,90,50000,3,3366
Bucket,0,100,50000,3,4001
Bucket,0,10,60000,3,87
Bucket,0,20,60000,3,241
Bucket,0,30,60000,3,454
Bucket,0,40,60000,3,718
Bucket,0,50,60000,3,1052
Bucket,0,60,60000,3,1454
Bucket,0,70,60000,3,1886
Bucket,0,80,60000,3,2338
Bucket,0,90,60000,3,2852
Bucket,0,100,60000,3,3445
Bucket,0,10,70000,3,61
Bucket,0,20,70000,3,185
Bucket,0,30,70000,3,364
Bucket,0,40,70000,3,644
Bucket,0,50,70000,3,937
Bucket,0,60,70000,3,1284
Bucket,0,70,70000,3,1734
Bucket,0,80,70000,3,2199
Bucket,0,90,70000,3,2658
Bucket,0,100,70000,3,3174
Bucket,0,10,80000,3,61
Bucket,0,20,80000,3,163
Bucket,0,30,80000,3,329
Bucket,0,40,80000,3,547
Bucket,0,50,80000,3,835
Bucket,0,60,80000,3,1117
Bucket,0,70,80000,3,1443
Bucket,0,80,80000,3,1874
Bucket,0,90,80000,3,2335
Bucket,0,100,80000,3,2853
Bucket,0,10,90000,3,69
Bucket,0,20,90000,3,200
Bucket,0,30,90000,3,368
Bucket,0,40,90000,3,584
Bucket,0,50,90000,3,856
Bucket,0,60,90000,3,1148
Bucket,0,70,90000,3,1499
Bucket,0,80,90000,3,1899
Bucket,0,90,90000,3,2303
Bucket,0,100,90000,3,2740
Bucket,0,10,100000,3,56
Bucket,0,20,100000,3,151
Bucket,0,30,100000,3,287
Bucket,0,40,100000,3,479
Bucket,0,50,100000,3,685
Bucket,0,60,100000,3,968
Bucket,0,70,100000,3,1249
Bucket,0,80,100000,3,1588
Bucket,0,90,100000,3,1928
Bucket,0,100,100000,3,2362
Bucket,0,10,110000,3,43
Bucket,0,20,110000,3,138
Bucket,0,30,110000,3,264
Bucket,0,40,110000,3,434
Bucket,0,50,110000,3,637
Bucket,0,60,110000,3,895
Bucket,0,70,110000,3,1181
Bucket,0,80,110000,3,1482
Bucket,0,90,110000,3,1834
Bucket,0,100,110000,3,4341
Bucket,0,10,120000,3,39
Bucket,0,20,120000,3,136
Bucket,0,30,120000,3,259
Bucket,0,40,120000,3,425
Bucket,0,50,120000,3,634
Bucket,0,60,120000,3,878
Bucket,0,70,120000,3,1185
Bucket,0,80,120000,3,1465
Bucket,0,90,120000,3,1787
Bucket,0,100,120000,3,2173
Bucket,0,10,130000,3,52
Bucket,0,20,130000,3,138
Bucket,0,30,130000,3,274
Bucket,0,40,130000,3,437
Bucket,0,50,130000,3,629
Bucket,0,60,130000,3,843
Bucket,0,70,130000,3,1088
Bucket,0,80,130000,3,1394
Bucket,0,90,130000,3,1699
Bucket,0,100,130000,3,1995
Bucket,0,10,140000,3,38
Bucket,0,20,140000,3,121
Bucket,0,30,140000,3,240
Bucket,0,40,140000,3,419
Bucket,0,50,140000,3,607
Bucket,0,60,140000,3,804
Bucket,0,70,140000,3,1069
Bucket,0,80,140000,3,1356
Bucket,0,90,140000,3,1651
Bucket,0,100,140000,3,1961
Bucket,0,10,150000,3,31
Bucket,0,20,150000,3,103
Bucket,0,30,150000,3,201
Bucket,0,40,150000,3,333
Bucket,0,50,150000,3,503
Bucket,0,60,150000,3,678
Bucket,0,70,150000,3,877
Bucket,0,80,150000,3,1130
Bucket,0,90,150000,3,1411
Bucket,0,100,150000,3,1683
Bucket,0,10,160000,3,47
Bucket,0,20,160000,3,122
Bucket,0,30,160000,3,229
Bucket,0,40,160000,3,357
Bucket,0,50,160000,3,530
Bucket,0,60,160000,3,780
Bucket,0,70,160000,3,983
Bucket,0,80,160000,3,1210
Bucket,0,90,160000,3,1532
Bucket,0,100,160000,3,1860
Bucket,0,10,170000,3,39
Bucket,0,20,170000,3,122
Bucket,0,30,170000,3,231
Bucket,0,40,170000,3,384
Bucket,0,50,170000,3,530
Bucket,0,60,170000,3,747
Bucket,0,70,170000,3,945
Bucket,0,80,170000,3,1166
Bucket,0,90,170000,3,1462
Bucket,0,100,170000,3,1781
Bucket,0,10,180000,3,40
Bucket,0,20,180000,3,119
Bucket,0,30,180000,3,237
Bucket,0,40,180000,3,376
Bucket,0,50,180000,3,540
Bucket,0,60,180000,3,739
Bucket,0,70,180000,3,960
Bucket,0,80,180000,3,1168
Bucket,0,90,180000,3,1396
Bucket,0,100,180000,3,1696
Bucket,0,10,190000,3,34
Bucket,0,20,190000,3,99
Bucket,0,30,190000,3,194
Bucket,0,40,190000,3,310
Bucket,0,50,190000,3,452
Bucket,0,60,190000,3,626
Bucket,0,70,190000,3,857
Bucket,0,80,190000,3,1064
Bucket,0,90,190000,3,1307
Bucket,0,100,190000,3,1626
Bucket,0,10,200000,3,27
Bucket,0,20,200000,3,91
Bucket,0,30,200000,3,180
Bucket,0,40,200000,3,294
Bucket,0,50,200000,3,420
Bucket,0,60,200000,3,609
Bucket,0,70,200000,3,826
Bucket,0,80,200000,3,1038
Bucket,0,90,200000,3,1254
Bucket,0,100,200000,3,1551
Bucket,0,10,10000,4,29430
Bucket,0,20,10000,4,85570
Bucket,0,30,10000,4,180770
Bucket,0,40,10000,4,306097
Bucket,0,50,10000,4,464731
Bucket,0,60,10000,4,647059
Bucket,0,70,10000,4,844003
Bucket,0,80,10000,4,1048232
Bucket,0,90,10000,4,1268991
Bucket,0,100,10000,4,1528626
Bucket,0,10,20000,4,21532
Bucket,0,20,20000,4,63638
Bucket,0,30,20000,4,114921
Bucket,0,40,20000,4,185591
Bucket,0,50,20000,4,276042
Bucket,0,60,20000,4,363132
Bucket,0,70,20000,4,477575
Bucket,0,80,20000,4,604771
Bucket,0,90,20000,4,748520
Bucket,0,100,20000,4,911354
Bucket,0,10,30000,4,11095
Bucket,0,20,30000,4,33564
Bucket,0,30,30000,4,65191
Bucket,0,40,30000,4,108345
Bucket,0,50,30000,4,159351
Bucket,0,60,30000,4,216030
